Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.05     0.00      332     0.00     0.00  BASM_OpImmP
  0.00      1.05     0.00      331     0.00     0.00  BGBCP_ExpressionLop2
  0.00      1.05     0.00      316     0.00     0.00  BASM_EmitGoto
  0.00      1.05     0.00      313     0.00     0.00  BGBCP_ExpressionTCond
  0.00      1.05     0.00      309     0.00     0.00  BGBCP_Expression
  0.00      1.05     0.00      309     0.00     0.00  BGBCP_ExpressionEquals
  0.00      1.05     0.00      304     0.00     0.01  BASM_OutOpMemReg
  0.00      1.05     0.00      300     0.00     0.00  BASM_InitDllsOS
  0.00      1.05     0.00      300     0.00     0.00  BASM_LookupLabelOS
  0.00      1.05     0.00      297     0.00     0.00  BGBDY_Init
  0.00      1.05     0.00      288     0.00     0.00  SXIL_SyncStack3
  0.00      1.05     0.00      262     0.00     0.01  BASM_OutOpRegReg
  0.00      1.05     0.00      262     0.00     0.00  BASM_OutOpStrRegReg
  0.00      1.05     0.00      256     0.00     0.01  BASM_Init
  0.00      1.05     0.00      254     0.00     0.00  BGBPP_AddDefineArgs
  0.00      1.05     0.00      246     0.00     0.00  BGBCC_ReduceForm
  0.00      1.05     0.00      235     0.00     0.00  thSleep
  0.00      1.05     0.00      232     0.00     0.00  vfdir_vfseek
  0.00      1.05     0.00      232     0.00     0.00  vfseek
  0.00      1.05     0.00      230     0.00     0.00  pdgl_fseek_f
  0.00      1.05     0.00      228     0.00     0.05  BASM_LookupLabel
  0.00      1.05     0.00      220     0.00     0.00  BASM_OpRegRegImmP
  0.00      1.05     0.00      220     0.00     0.00  BASM_OutOpReg
  0.00      1.05     0.00      220     0.00     0.00  BASM_OutOpStrReg
  0.00      1.05     0.00      214     0.00     0.01  SXIL_TransOpcode
  0.00      1.05     0.00      214     0.00     0.01  SXIL_TransOpcodeOp
  0.00      1.05     0.00      212     0.00     0.00  BGBCC_ReduceExpr
  0.00      1.05     0.00      210     0.00     0.00  BGBCC_IsUnaryP
  0.00      1.05     0.00      210     0.00     0.00  BGBCP_Number
  0.00      1.05     0.00      194     0.00     0.01  BASM_EmitLabel
  0.00      1.05     0.00      194     0.00     0.01  BASM_EmitLabelPos
  0.00      1.05     0.00      180     0.00     0.00  BGBCP_HandleTypedef
  0.00      1.05     0.00      180     0.00     0.00  SXIL_GetTypeBase
  0.00      1.05     0.00      176     0.00     0.00  BASM_OpMemP
  0.00      1.05     0.00      174     0.00     0.00  BASM_OutOpSingle
  0.00      1.05     0.00      174     0.00     0.00  BASM_OutOpStr
  0.00      1.05     0.00      170     0.00     0.00  BASM_Sib
  0.00      1.05     0.00      166     0.00     0.01  BASM_OutOpRegImm
  0.00      1.05     0.00      166     0.00     0.00  BASM_OutOpStrRegImm
  0.00      1.05     0.00      166     0.00     0.00  basm_coff_get32
  0.00      1.05     0.00      163     0.00     0.00  BCCX_CloneList
  0.00      1.05     0.00      162     0.00     0.00  SXIL_SyncStack1
  0.00      1.05     0.00      157     0.00     0.00  BGBCP_ParseExpressionName
  0.00      1.05     0.00      156     0.00     0.01  BASM_EmitGotoPos
  0.00      1.05     0.00      152     0.00     0.00  BGBDY_FindType
  0.00      1.05     0.00      152     0.00     0.00  BGBDY_FindTypeHash
  0.00      1.05     0.00      150     0.00     0.00  SXIL_XRegName
  0.00      1.05     0.00      148     0.00     0.00  BGBDY_FetchType
  0.00      1.05     0.00      148     0.00     0.00  BGBPP_EmitString
